,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,score,opt_d,step
48,42,49,47,10,46,55,68,39,34,33,32,43,31,36,29,28,1,4,3,8,11,12,7,2,0,37,78,30,5,13,18,9,35,38,79,26,88,87,14,6,19,17,15,16,20,21,23,27,64,66,61,62,65,75,76,77,84,86,89,90,81,82,69,80,83,85,72,74,70,73,91,92,94,93,95,67,63,71,59,53,56,58,60,24,25,22,57,54,51,50,52,45,44,41,40,-1233.8896075081248,1181.8062741747915,10
34,33,32,43,31,36,29,28,1,4,3,8,11,12,7,2,0,37,78,30,5,13,18,9,35,38,79,26,88,87,14,6,19,17,15,16,20,21,23,27,64,66,61,62,65,75,76,77,84,86,89,90,81,82,69,80,83,85,72,74,70,73,91,92,94,93,95,67,63,71,59,53,56,58,60,24,25,22,57,54,51,50,52,45,44,41,40,48,42,49,47,10,46,55,68,39,-1243.1762412971837,1191.0929079638504,10
57,54,51,50,52,45,44,41,40,48,42,49,47,10,46,55,68,39,34,33,32,43,31,36,29,28,1,4,3,8,11,12,7,2,0,37,78,30,5,13,18,9,35,38,79,26,88,87,14,6,19,17,15,16,20,21,23,27,64,66,61,62,65,75,76,77,84,86,89,90,81,82,69,80,83,85,72,74,70,73,91,92,94,93,95,67,63,71,59,53,56,58,60,24,25,22,-1220.9119070649729,1168.8285737316396,10
91,92,94,93,95,67,63,71,59,53,56,58,60,24,25,22,57,54,51,50,52,45,44,41,40,48,42,49,47,10,46,55,68,39,34,33,32,43,31,36,29,28,1,4,3,8,11,12,7,2,0,37,78,30,5,13,18,9,35,38,79,26,88,87,14,6,19,17,15,16,20,21,23,27,64,66,61,62,65,75,76,77,84,86,89,90,81,82,69,80,83,85,72,74,70,73,-1213.7819914949953,1161.698658161662,10
71,59,53,56,58,60,24,25,22,57,54,51,50,52,45,44,41,40,48,42,49,47,10,46,55,68,39,34,33,32,43,31,36,29,28,1,4,3,8,11,12,7,2,0,37,78,30,5,13,18,9,35,38,79,26,88,87,14,6,19,17,15,16,20,21,23,27,64,66,61,62,65,75,76,77,84,86,89,90,81,82,69,80,83,85,72,74,70,73,91,92,94,93,95,67,63,-1194.1230630003101,1142.0397296669769,10
20,16,15,14,11,13,9,6,5,7,3,2,1,30,29,28,31,35,38,41,39,48,42,40,33,32,45,47,53,63,27,21,17,18,19,59,46,44,10,34,4,0,78,79,36,8,43,37,88,91,95,64,61,65,94,25,92,93,12,68,58,56,54,52,51,49,50,55,57,60,70,72,74,76,85,86,89,87,77,73,83,80,90,84,81,82,71,69,75,67,66,62,26,22,24,23,-1232.1563187821105,1180.0729854487772,10
39,48,42,40,33,32,45,47,53,63,27,21,17,18,19,59,46,44,10,34,4,0,78,79,36,8,43,37,88,91,95,64,61,65,94,25,92,93,12,68,58,56,54,52,51,49,50,55,57,60,70,72,74,76,85,86,89,87,77,73,83,80,90,84,81,82,71,69,75,67,66,62,26,22,24,23,20,16,15,14,11,13,9,6,5,7,3,2,1,30,29,28,31,35,38,41,-1245.044137907001,1192.9608045736677,10
85,86,89,87,77,73,83,80,90,84,81,82,71,69,75,67,66,62,26,22,24,23,20,16,15,14,11,13,9,6,5,7,3,2,1,30,29,28,31,35,38,41,39,48,42,40,33,32,45,47,53,63,27,21,17,18,19,59,46,44,10,34,4,0,78,79,36,8,43,37,88,91,95,64,61,65,94,25,92,93,12,68,58,56,54,52,51,49,50,55,57,60,70,72,74,76,-1265.7604449224596,1213.6771115891263,10
7,3,2,1,30,29,28,31,35,38,41,39,48,42,40,33,32,45,47,53,63,27,21,17,18,19,59,46,44,10,34,4,0,78,79,36,8,43,37,88,91,95,64,61,65,94,25,92,93,12,68,58,56,54,52,51,49,50,55,57,60,70,72,74,76,85,86,89,87,77,73,83,80,90,84,81,82,71,69,75,67,66,62,26,22,24,23,20,16,15,14,11,13,9,6,5,-1253.4307845638818,1201.3474512305486,10
55,57,60,70,72,74,76,85,86,89,87,77,73,83,80,90,84,81,82,71,69,75,67,66,62,26,22,24,23,20,16,15,14,11,13,9,6,5,7,3,2,1,30,29,28,31,35,38,41,39,48,42,40,33,32,45,47,53,63,27,21,17,18,19,59,46,44,10,34,4,0,78,79,36,8,43,37,88,91,95,64,61,65,94,25,92,93,12,68,58,56,54,52,51,49,50,-1208.012483532302,1155.9291501989687,10
61,1,3,6,7,4,5,9,14,13,8,11,32,34,36,33,38,41,49,51,42,44,48,45,43,35,30,28,37,31,39,54,55,58,57,68,52,47,46,53,59,60,70,73,83,86,84,85,89,87,77,72,71,76,92,91,93,65,66,62,63,64,95,26,22,24,21,25,27,18,19,16,23,15,40,56,81,69,80,90,75,88,67,94,82,79,50,74,17,10,2,29,12,78,0,20,-1380.7672864664096,1328.6839531330763,10
10,2,29,12,78,0,20,61,1,3,6,7,4,5,9,14,13,8,11,32,34,36,33,38,41,49,51,42,44,48,45,43,35,30,28,37,31,39,54,55,58,57,68,52,47,46,53,59,60,70,73,83,86,84,85,89,87,77,72,71,76,92,91,93,65,66,62,63,64,95,26,22,24,21,25,27,18,19,16,23,15,40,56,81,69,80,90,75,88,67,94,82,79,50,74,17,-1368.0119962833442,1315.928662950011,10
2,29,12,78,0,20,61,1,3,6,7,4,5,9,14,13,8,11,32,34,36,33,38,41,49,51,42,44,48,45,43,35,30,28,37,31,39,54,55,58,57,68,52,47,46,53,59,60,70,73,83,86,84,85,89,87,77,72,71,76,92,91,93,65,66,62,63,64,95,26,22,24,21,25,27,18,19,16,23,15,40,56,81,69,80,90,75,88,67,94,82,79,50,74,17,10,-1310.3734411380908,1258.2901078047576,10
88,67,94,82,79,50,74,17,10,2,29,12,78,0,20,61,1,3,6,7,4,5,9,14,13,8,11,32,34,36,33,38,41,49,51,42,44,48,45,43,35,30,28,37,31,39,54,55,58,57,68,52,47,46,53,59,60,70,73,83,86,84,85,89,87,77,72,71,76,92,91,93,65,66,62,63,64,95,26,22,24,21,25,27,18,19,16,23,15,40,56,81,69,80,90,75,-1391.0243130298657,1338.9409796965324,10
57,68,52,47,46,53,59,60,70,73,83,86,84,85,89,87,77,72,71,76,92,91,93,65,66,62,63,64,95,26,22,24,21,25,27,18,19,16,23,15,40,56,81,69,80,90,75,88,67,94,82,79,50,74,17,10,2,29,12,78,0,20,61,1,3,6,7,4,5,9,14,13,8,11,32,34,36,33,38,41,49,51,42,44,48,45,43,35,30,28,37,31,39,54,55,58,-1352.398583932826,1300.3152505994929,10
85,73,84,88,83,87,77,72,75,74,91,93,94,76,71,58,60,62,61,70,63,26,27,25,23,24,20,16,19,17,22,47,52,50,51,48,39,41,42,43,32,38,36,37,34,29,31,28,33,30,1,6,3,4,8,11,9,14,7,10,45,40,49,46,68,82,81,89,66,92,67,65,95,21,64,15,5,2,12,13,53,54,35,78,44,18,56,79,90,0,59,57,55,69,80,86,-1363.166596354204,1311.0832630208708,10
10,45,40,49,46,68,82,81,89,66,92,67,65,95,21,64,15,5,2,12,13,53,54,35,78,44,18,56,79,90,0,59,57,55,69,80,86,85,73,84,88,83,87,77,72,75,74,91,93,94,76,71,58,60,62,61,70,63,26,27,25,23,24,20,16,19,17,22,47,52,50,51,48,39,41,42,43,32,38,36,37,34,29,31,28,33,30,1,6,3,4,8,11,9,14,7,-1344.862312289881,1292.7789789565477,10
58,60,62,61,70,63,26,27,25,23,24,20,16,19,17,22,47,52,50,51,48,39,41,42,43,32,38,36,37,34,29,31,28,33,30,1,6,3,4,8,11,9,14,7,10,45,40,49,46,68,82,81,89,66,92,67,65,95,21,64,15,5,2,12,13,53,54,35,78,44,18,56,79,90,0,59,57,55,69,80,86,85,73,84,88,83,87,77,72,75,74,91,93,94,76,71,-1307.4199849413508,1255.3366516080175,10
