,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impr
52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,82,81,69,80,79,26,38,35,5,30,78,37,0,2,7,3,4,1,28,29,36,31,43,32,33,34,39,68,55,46,10,47,49,42,48,40,41,44,45,9.99371121589116
58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,82,81,69,80,79,26,38,35,5,30,78,37,0,2,7,3,4,1,28,29,36,31,43,32,33,34,39,68,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,7.972839220584987
10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,82,81,69,80,79,26,38,35,5,30,78,37,0,2,7,3,4,1,28,29,36,31,43,32,33,34,39,68,55,46,10.979848592137323
7,3,4,1,28,29,36,31,43,32,33,34,39,68,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,82,81,69,80,79,26,38,35,5,30,78,37,0,2,12.092906358306532
31,43,32,33,34,39,68,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,82,81,69,80,79,26,38,35,5,30,78,37,0,2,7,3,4,1,28,29,36,7.2808394057494485
71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,3,4,7,5,37,43,32,33,34,39,38,26,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,26.245196836332255
58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,3,4,7,5,37,43,32,33,34,39,38,26,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,11.56305538878495
34,39,38,26,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,3,4,7,5,37,43,32,33,4.649786550263183
21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,3,4,7,5,37,43,32,33,34,39,38,26,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,23,8.074935899595703
83,86,84,77,76,75,65,62,61,66,64,27,23,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,3,4,7,5,37,43,32,33,34,39,38,26,55,46,10,47,49,42,48,40,41,44,45,52,50,51,54,57,22,25,24,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,0.8949747951132272
43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,50,52,49,44,10,46,51,54,57,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,-3.8837674717188353
33,34,37,38,39,40,41,42,48,45,47,24,23,55,50,52,49,44,10,46,51,54,57,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,-1.5052132171943953
9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,50,52,49,44,10,46,51,54,57,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,7.108438475744316
8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,50,52,49,44,10,46,51,54,57,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,6.440132206678236
49,44,10,46,51,54,57,60,58,56,53,59,71,63,67,95,93,94,92,91,73,70,74,72,85,83,86,84,77,76,75,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,50,52,2.929568561453925
27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,56,59,53,46,10,44,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,60,63,65,62,61,66,64,0.14125661420220048
83,86,85,84,77,76,91,92,94,95,93,67,60,63,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,56,59,53,46,10,44,49,51,50,54,52,57,58,70,71,75,73,72,74,13.4393476345535
60,63,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,56,59,53,46,10,44,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,11.7398529664173
13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,40,41,42,48,45,47,24,23,55,56,59,53,46,10,44,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,60,63,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,1.1146018395341812
40,41,42,48,45,47,24,23,55,56,59,53,46,10,44,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,60,63,65,62,61,66,64,27,26,25,22,21,20,19,18,17,16,6,9,8,11,12,13,14,15,87,88,89,90,79,82,80,81,69,68,78,35,36,31,30,29,0,28,1,2,5,7,4,3,32,43,33,34,37,38,39,-2.2928313734282058
52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,66,65,61,60,62,15,16,17,19,18,20,21,22,25,27,26,64,63,87,88,89,90,68,69,81,80,82,79,78,36,35,31,30,29,0,28,1,2,7,5,4,3,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,24,23,53,59,56,55,49,51,50,54,4.714094200244423
81,80,82,79,78,36,35,31,30,29,0,28,1,2,7,5,4,3,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,24,23,53,59,56,55,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,66,65,61,60,62,15,16,17,19,18,20,21,22,25,27,26,64,63,87,88,89,90,68,69,-0.08566952031114994
0,28,1,2,7,5,4,3,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,24,23,53,59,56,55,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,66,65,61,60,62,15,16,17,19,18,20,21,22,25,27,26,64,63,87,88,89,90,68,69,81,80,82,79,78,36,35,31,30,29,-2.3949204139039733
5,4,3,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,24,23,53,59,56,55,49,51,50,54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,66,65,61,60,62,15,16,17,19,18,20,21,22,25,27,26,64,63,87,88,89,90,68,69,81,80,82,79,78,36,35,31,30,29,0,28,1,2,7,-0.6176167444157965
54,52,57,58,70,71,75,73,72,74,83,86,85,84,77,76,91,92,94,95,93,67,66,65,61,60,62,15,16,17,19,18,20,21,22,25,27,26,64,63,87,88,89,90,68,69,81,80,82,79,78,36,35,31,30,29,0,28,1,2,7,5,4,3,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,24,23,53,59,56,55,49,51,50,-0.20641100222056252
95,93,67,66,65,63,64,26,27,25,22,21,20,18,17,19,16,15,24,23,62,61,60,87,88,89,90,82,81,80,69,68,79,78,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,59,53,57,52,49,51,50,54,55,56,58,70,71,72,74,75,73,83,86,85,84,77,76,91,92,94,-0.24931000524252767
34,37,38,39,40,41,42,48,45,46,47,59,53,57,52,49,51,50,54,55,56,58,70,71,72,74,75,73,83,86,85,84,77,76,91,92,94,95,93,67,66,65,63,64,26,27,25,22,21,20,18,17,19,16,15,24,23,62,61,60,87,88,89,90,82,81,80,69,68,79,78,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,10,44,43,32,33,-4.909341216988331
39,40,41,42,48,45,46,47,59,53,57,52,49,51,50,54,55,56,58,70,71,72,74,75,73,83,86,85,84,77,76,91,92,94,95,93,67,66,65,63,64,26,27,25,22,21,20,18,17,19,16,15,24,23,62,61,60,87,88,89,90,82,81,80,69,68,79,78,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,-1.9925320410211782
4,5,7,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,59,53,57,52,49,51,50,54,55,56,58,70,71,72,74,75,73,83,86,85,84,77,76,91,92,94,95,93,67,66,65,63,64,26,27,25,22,21,20,18,17,19,16,15,24,23,62,61,60,87,88,89,90,82,81,80,69,68,79,78,36,35,31,30,29,0,28,1,2,3,-1.939300891233564
88,89,90,82,81,80,69,68,79,78,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,10,44,43,32,33,34,37,38,39,40,41,42,48,45,46,47,59,53,57,52,49,51,50,54,55,56,58,70,71,72,74,75,73,83,86,85,84,77,76,91,92,94,95,93,67,66,65,63,64,26,27,25,22,21,20,18,17,19,16,15,24,23,62,61,60,87,-2.0244639262148194
30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,95,93,67,66,65,63,64,62,61,60,70,71,72,75,74,73,83,85,84,86,82,80,81,69,68,57,59,58,56,55,54,50,51,49,52,53,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,-1.150022397931183
26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,95,93,67,66,65,63,64,62,61,60,70,71,72,75,74,73,83,85,84,86,82,80,81,69,68,57,59,58,56,55,54,50,51,49,52,53,46,47,24,23,22,-2.8593800778224967
1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,95,93,67,66,65,63,64,62,61,60,70,71,72,75,74,73,83,85,84,86,82,80,81,69,68,57,59,58,56,55,54,50,51,49,52,53,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,-10.586406942348095
81,69,68,57,59,58,56,55,54,50,51,49,52,53,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,95,93,67,66,65,63,64,62,61,60,70,71,72,75,74,73,83,85,84,86,82,80,-3.8733320680900025
66,65,63,64,62,61,60,70,71,72,75,74,73,83,85,84,86,82,80,81,69,68,57,59,58,56,55,54,50,51,49,52,53,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,95,93,67,-3.578852494998671
61,60,59,58,70,71,72,75,74,73,83,84,85,86,82,80,81,69,68,56,55,57,53,52,54,50,51,49,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,93,95,64,65,66,67,63,62,-1.5971118237072073
37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,93,95,64,65,66,67,63,62,61,60,59,58,70,71,72,75,74,73,83,84,85,86,82,80,81,69,68,56,55,57,53,52,54,50,51,49,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,-1.8623665621260548
7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,93,95,64,65,66,67,63,62,61,60,59,58,70,71,72,75,74,73,83,84,85,86,82,80,81,69,68,56,55,57,53,52,54,50,51,49,46,47,24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,-2.0357078794157095
24,23,22,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,93,95,64,65,66,67,63,62,61,60,59,58,70,71,72,75,74,73,83,84,85,86,82,80,81,69,68,56,55,57,53,52,54,50,51,49,46,47,-3.838819784760279
20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,37,34,33,32,43,44,10,45,48,42,41,40,39,38,78,79,90,89,88,87,77,76,91,92,94,93,95,64,65,66,67,63,62,61,60,59,58,70,71,72,75,74,73,83,84,85,86,82,80,81,69,68,56,55,57,53,52,54,50,51,49,46,47,24,23,22,26,27,25,21,-7.023570240900728
43,38,31,29,28,30,35,34,39,41,40,42,48,51,52,56,68,55,57,59,60,93,94,95,61,62,58,82,90,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,74,83,77,87,86,85,76,72,75,91,92,73,71,70,84,88,89,80,69,50,53,54,49,3.574848108959472
64,63,65,66,67,74,83,77,87,86,85,76,72,75,91,92,73,71,70,84,88,89,80,69,50,53,54,49,43,38,31,29,28,30,35,34,39,41,40,42,48,51,52,56,68,55,57,59,60,93,94,95,61,62,58,82,90,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,10.872032455403513
26,22,20,17,18,21,23,25,64,63,65,66,67,74,83,77,87,86,85,76,72,75,91,92,73,71,70,84,88,89,80,69,50,53,54,49,43,38,31,29,28,30,35,34,39,41,40,42,48,51,52,56,68,55,57,59,60,93,94,95,61,62,58,82,90,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,4.297794049748106
30,35,34,39,41,40,42,48,51,52,56,68,55,57,59,60,93,94,95,61,62,58,82,90,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,74,83,77,87,86,85,76,72,75,91,92,73,71,70,84,88,89,80,69,50,53,54,49,43,38,31,29,28,8.146703168582885
2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,74,83,77,87,86,85,76,72,75,91,92,73,71,70,84,88,89,80,69,50,53,54,49,43,38,31,29,28,30,35,34,39,41,40,42,48,51,52,56,68,55,57,59,60,93,94,95,61,62,58,82,90,81,78,36,79,0,2.698681603656226
22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,52,51,48,42,40,41,39,34,35,30,28,29,31,38,43,49,54,68,55,56,69,80,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,4.66767335143488
30,28,29,31,38,43,49,54,68,55,56,69,80,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,52,51,48,42,40,41,39,34,35,4.302048599384186
56,69,80,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,52,51,48,42,40,41,39,34,35,30,28,29,31,38,43,49,54,68,55,-2.560007824333228
54,68,55,56,69,80,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,52,51,48,42,40,41,39,34,35,30,28,29,31,38,43,49,4.834451671328532
67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,52,51,48,42,40,41,39,34,35,30,28,29,31,38,43,49,54,68,55,56,69,80,81,78,36,79,0,2,37,44,47,46,24,15,6,5,3,9,8,7,4,1,33,32,45,10,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,-0.8471018022743877
30,35,36,0,2,1,4,7,8,9,3,5,6,15,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,31,29,28,0.3420585181597229
50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,31,29,28,30,35,36,0,2,1,4,7,8,9,3,5,6,15,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,8.130957667445244
8,9,3,5,6,15,13,14,11,12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,31,29,28,30,35,36,0,2,1,4,7,7.286767117340421
12,19,16,27,26,22,20,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,31,29,28,30,35,36,0,2,1,4,7,8,9,3,5,6,15,13,14,11,6.420190297614962
21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,31,29,28,30,35,36,0,2,1,4,7,8,9,3,5,6,15,13,14,11,12,19,16,27,26,22,20,17,18,22.08092810569122
86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,15,16,19,20,22,26,27,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,-1.0009631757352153
89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,15,16,19,20,22,26,27,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,-2.5234928816061775
94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,15,16,19,20,22,26,27,17,18,21,23,25,64,63,65,66,67,92,91,93,4.3122446769474365
60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,38,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,15,16,19,20,22,26,27,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,13.965181808746621
38,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,11,12,13,14,15,16,19,20,22,26,27,17,18,21,23,25,64,63,65,66,67,92,91,93,94,95,61,62,58,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,60,59,57,53,50,49,45,47,46,24,10,33,34,37,79,78,80,81,69,68,56,55,54,52,51,48,42,41,40,39,44,32,43,3.7779391680180474
68,69,81,80,78,79,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,63,65,66,67,93,92,91,94,95,64,27,26,23,22,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,58,60,61,62,59,57,53,24,47,46,48,42,41,40,39,44,32,43,38,37,34,33,10,45,49,50,51,52,54,55,56,2.2389432847139403
61,62,59,57,53,24,47,46,48,42,41,40,39,44,32,43,38,37,34,33,10,45,49,50,51,52,54,55,56,68,69,81,80,78,79,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,63,65,66,67,93,92,91,94,95,64,27,26,23,22,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,58,60,-0.8502264900054399
46,48,42,41,40,39,44,32,43,38,37,34,33,10,45,49,50,51,52,54,55,56,68,69,81,80,78,79,82,90,89,88,86,83,85,84,77,87,74,72,71,70,73,76,75,63,65,66,67,93,92,91,94,95,64,27,26,23,22,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,28,0,29,30,31,35,36,58,60,61,62,59,57,53,24,47,-6.145270077522614
